Country Name,Country Code,Indicator Name_x,Year,Inflation,Indicator Name_y,GDP_per_capita,Indicator Name,Exchange_Rate
Aruba,ABW,"Inflation, consumer prices (annual %)",2005,3.39778677828807,"Official exchange rate (LCU per US$, period average)",1.79,GDP per capita (constant 2015 US$),31249.2780373413
Africa Eastern and Southern,AFE,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),1301.66161668619
Afghanistan,AFG,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",49.4945975,GDP per capita (constant 2015 US$),363.640141436773
Africa Western and Central,AFW,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),1438.7657371855
Angola,AGO,"Inflation, consumer prices (annual %)",2005,22.953513851394,"Official exchange rate (LCU per US$, period average)",87.1591416666667,GDP per capita (constant 2015 US$),2526.41057941008
Albania,ALB,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",99.8702544808992,GDP per capita (constant 2015 US$),2712.86983830331
Andorra,AND,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),40528.1748609004
Arab World,ARB,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",,GDP per capita (constant 2015 US$),5418.23751648854
United Arab Emirates,ARE,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",3.6725,GDP per capita (constant 2015 US$),55777.9018314127
Argentina,ARG,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",2.9036575,GDP per capita (constant 2015 US$),11099.7509190602
Armenia,ARM,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",457.686940629159,GDP per capita (constant 2015 US$),2240.09273209788
American Samoa,ASM,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",1.0,GDP per capita (constant 2015 US$),13284.2791128875
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",2005,2.09875196709307,"Official exchange rate (LCU per US$, period average)",2.7,GDP per capita (constant 2015 US$),17301.2134317518
Australia,AUS,"Inflation, consumer prices (annual %)",2005,2.69183168316832,"Official exchange rate (LCU per US$, period average)",1.30947333333333,GDP per capita (constant 2015 US$),50853.1976727529
Austria,AUT,"Inflation, consumer prices (annual %)",2005,2.29913785639286,"Official exchange rate (LCU per US$, period average)",0.803800192161442,GDP per capita (constant 2015 US$),40989.0131778975
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",0.945421,GDP per capita (constant 2015 US$),2674.36885551094
Burundi,BDI,"Inflation, consumer prices (annual %)",2005,13.2520699188224,"Official exchange rate (LCU per US$, period average)",1081.57716666667,GDP per capita (constant 2015 US$),287.030688980174
Belgium,BEL,"Inflation, consumer prices (annual %)",2005,2.78143263670022,"Official exchange rate (LCU per US$, period average)",0.803800192161442,GDP per capita (constant 2015 US$),38645.2605193362
Benin,BEN,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",527.258362649643,GDP per capita (constant 2015 US$),893.91536869992
Burkina Faso,BFA,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",527.258362649626,GDP per capita (constant 2015 US$),499.192797571217
Bangladesh,BGD,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",64.327475,GDP per capita (constant 2015 US$),739.203718353409
Bulgaria,BGR,"Inflation, consumer prices (annual %)",2005,5.03883807111902,"Official exchange rate (LCU per US$, period average)",1.57413333333333,GDP per capita (constant 2015 US$),5231.33817610444
Bahrain,BHR,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",0.376,GDP per capita (constant 2015 US$),23439.6704353038
"Bahamas, The",BHS,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",1.0,GDP per capita (constant 2015 US$),33144.8960860599
Bosnia and Herzegovina,BIH,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",1.5727220196,GDP per capita (constant 2015 US$),3216.86881717187
Belarus,BLR,"Inflation, consumer prices (annual %)",2005,,"Official exchange rate (LCU per US$, period average)",0.215382,GDP per capita (constant 2015 US$),3877.71738863193
